iter	Passed	Remaining
777	1795	512
778	1796	509
779	1797	506
780	1798	504
781	1799	501
782	1800	498
783	1800	496
784	1801	493
785	1802	490
786	1803	488
787	1805	485
788	1806	483
789	1807	480
790	1808	477
791	1808	475
792	1809	472
793	1811	470
794	1812	467
795	1813	464
796	1815	462
797	1816	459
798	1817	457
799	1818	454
800	1824	453
801	1825	450
802	1833	449
803	1835	447
804	1836	444
805	1851	445
806	1852	443
807	1853	440
808	1854	437
809	1855	435
810	1856	432
811	1860	430
812	1868	429
813	1869	427
814	1870	424
815	1871	421
816	1871	419
817	1872	416
818	1873	414
819	1874	411
820	1875	408
821	1878	406
822	1879	404
823	1880	401
824	1881	399
825	1883	396
826	1884	394
827	1885	391
828	1886	389
829	1890	387
830	1892	384
831	1893	382
832	1897	380
833	1898	377
834	1899	375
835	1900	372
836	1901	370
837	1902	367
838	1909	366
839	1909	363
840	1911	361
841	1912	358
842	1913	356
843	1914	353
844	1915	351
845	1916	348
846	1917	346
847	1918	343
848	1922	341
849	1923	339
850	1924	336
851	1925	334
852	1926	332
853	1927	329
854	1928	327
855	1930	324
856	1931	322
857	1932	319
858	1933	317
859	1934	314
860	1936	312
861	1938	310
862	1939	307
863	1940	305
864	1941	303
865	1942	300
866	1943	298
867	1944	295
868	1946	293
869	1955	292
870	1956	289
871	1957	287
872	1958	284
873	1959	282
874	1960	280
875	1960	277
876	1962	275
877	1965	273
878	1966	270
879	1977	269
880	1978	267
881	1980	265
882	1981	262
883	1982	260
884	1991	258
885	1992	256
886	1993	253
887	1994	251
888	1995	249
889	1996	246
890	1997	244
891	1998	241
892	1999	239
893	2000	237
894	2001	234
895	2002	232
896	2003	230
897	2004	227
898	2006	225
899	2007	223
900	2008	220
901	2009	218
902	2010	215
903	2016	214
904	2016	211
905	2018	209
906	2019	207
907	2021	204
908	2022	202
909	2024	200
910	2025	197
911	2026	195
912	2027	193
913	2028	190
914	2029	188
915	2030	186
916	2031	183
917	2032	181
918	2033	179
919	2034	176
920	2036	174
921	2039	172
922	2040	170
923	2041	167
924	2042	165
925	2042	163
926	2043	160
927	2054	159
928	2055	157
929	2056	154
930	2057	152
931	2058	150
932	2059	147
933	2063	145
934	2064	143
935	2064	141
936	2065	138
937	2066	136
938	2073	134
939	2074	132
940	2075	130
941	2076	127
942	2077	125
943	2078	123
944	2079	121
945	2080	118
946	2086	116
947	2088	114
948	2089	112
949	2090	110
950	2091	107
951	2100	105
952	2101	103
953	2102	101
954	2106	99
955	2107	96
956	2107	94
957	2108	92
958	2109	90
959	2110	87
960	2111	85
961	2112	83
962	2113	81
963	2124	79
964	2125	77
965	2126	74
966	2127	72
967	2128	70
968	2129	68
969	2131	65
970	2132	63
971	2133	61
972	2140	59
973	2141	57
974	2142	54
975	2143	52
976	2144	50
977	2144	48
978	2146	46
979	2147	43
980	2154	41
981	2155	39
982	2157	37
983	2158	35
984	2159	32
985	2160	30
986	2162	28
987	2163	26
988	2164	24
989	2166	21
990	2167	19
991	2168	17
992	2169	15
993	2169	13
994	2170	10
995	2172	8
996	2173	6
997	2174	4
998	2176	2
999	2177	0
